5.3660904418	2.9450702249	7.3135973657	4.9973087366	
9.1149862679	3.9305305119	6.8025105298	5.4963116721	
-1.5520630961	1.4421765285	4.3154152359	8.6961744260	
7.8144359010	1.8910871110	1.6783649721	7.2388104474	
-1.7546072506	0.5447425392	4.7393240280	6.0352473197	
7.8867123484	3.5427031469	1.9222886702	5.5280814860	
-3.5418807173	1.6178037708	6.4324712657	6.9108540439	
1.9488526401	2.2219109790	4.1939480294	5.7456415119	
-2.5199386634	1.8124833503	4.6056092552	8.6530266961	
0.7508094444	2.8437050001	1.5538525629	4.2649832922	
1.8688830392	2.6355877744	4.5735735564	4.6998130347	
3.1063404860	4.1587507416	4.0533587854	5.0857986112	
8.1588947728	3.0940286838	7.6027057512	4.5473052768	
-0.5856906257	3.1406450146	3.7693015158	5.6727401212	
-1.4602680120	0.6387285824	4.9032808223	6.7414497052	
7.0090011316	3.4664922812	5.2924464208	5.3236645264	
-0.9722666296	-0.1185015578	4.1201773314	7.5013370707	
0.0709555650	1.8351213331	2.8697664012	4.5580269668	
8.6302138487	1.3122827052	3.0468108564	6.0259440331	
7.3552729796	2.7148504413	5.1363982306	5.9892634410	
9.1478635883	2.7115219557	8.1905076166	5.9467730080	
6.8667289537	4.6407319966	3.6820293518	6.6219137784	
-1.5859172113	0.2431954637	3.8193365789	7.8359636560	
-2.2764339851	0.8190616751	3.9734598442	7.1418915592	
1.3021198008	0.8590426851	0.9810763604	4.5107400305	
-2.5233318061	2.3012247950	5.5348571196	4.6865470488	
6.9801024827	4.4440690933	3.4758383234	8.4987111719	
8.0774485643	2.4971429408	5.6727160285	5.3139774276	
7.9043858633	3.7613403434	7.9228652371	5.4561289326	
7.5939460170	3.8233417663	2.0423297539	7.7666618730	
-1.3815155124	0.7961692076	5.7970615376	7.5934581970	
-3.5567089801	2.9559963476	5.2726141259	7.1132094566	
6.7387239146	2.0481371389	2.9926165494	7.7695778055	
7.3909236643	3.7523305540	7.6985126647	4.2119790576	
8.6713331478	2.8365840231	3.1062007710	7.3880957355	
2.5005729596	3.2935963999	2.2920505318	5.5450555715	
1.8534186591	1.9909472338	1.4586748542	4.5268364526	
7.4083669408	5.8890319414	8.1140627812	6.2195680395	
8.1728164004	3.3307044699	4.5806012548	8.6771225943	
2.8649041809	2.3870534483	3.5146290875	6.4341108936	
7.1531716887	2.5322462345	3.0212773334	7.8157478505	
7.0293211018	2.7033909915	1.7662244274	6.1954749709	
